"","PlayerName","pos","points","marg","value"
"442","Jonathan Krause","wr",0,-74.93,0
"443","Justin Blackmon","wr",0,-74.93,0
"444","Vince Mayle","wr",0,-74.93,0
"445","Dres Anderson","wr",0,-74.93,0
"446","Kashif Moore","wr",0,-74.93,0
"447","LaRon Byrd","wr",0,-74.93,0
"448","Nathan Palmer","wr",0,-74.93,0
"449","Darren Waller","wr",0,-74.93,0
"450","Rodney Smith","wr",0,-74.93,0
"451","Tavarres King","wr",0,-74.93,0
"452","Cobi Hamilton","wr",0,-74.93,0
"453","Demarcus Ayers","wr",0,-74.93,0
"454","Marcus Lucas","wr",0,-74.93,0
"455","Trevor Davis","wr",0,-74.93,0
"456","Moritz Boehringer","wr",0,-74.93,0
"457","Lance Moore","wr",0,-74.93,0
"458","Marques Colston","wr",0,-74.93,0
"459","Matt Slater","wr",0,-74.93,0
"460","Arrelious Benn","wr",0,-74.93,0
"461","Mike Williams","wr",0,-74.93,0
"462","Kyle Williams","wr",0,-74.93,0
"463","Greg Little","wr",0,-74.93,0
"464","Paul Perkins","rb",49.05,-78.275,0
"465","Kenneth Dixon","rb",48.07,-79.255,0
"466","Alfred Morris","rb",47.8,-79.525,0
"467","Shaun Draughn","rb",47.665,-79.66,0
"468","Alfred Blue","rb",47.495,-79.83,0
"469","Ka'Deem Carey","rb",47.155,-80.17,0
"470","Chris Thompson","rb",46.855,-80.47,0
"471","C.J. Spiller","rb",45.585,-81.74,0
"472","Benny Cunningham","rb",44.675,-82.65,0
"473","Tre Mason","rb",44.235,-83.09,0
"474","Andre Ellington","rb",42.615,-84.71,0
"475","Charcandrick West","rb",40.95,-86.375,0
"476","Terrance West","rb",40.585,-86.74,0
"477","Tyler Ervin","rb",40.345,-86.98,0
"478","Mike Tolbert","rb",39.73,-87.595,0
"479","Khiry Robinson","rb",39.205,-88.12,0
"480","Sam Bradford","qb",197.754,-88.24,0
"481","Wendell Smallwood","rb",38.745,-88.58,0
"482","Damien Williams","rb",37.89,-89.435,0
"483","Robert Turbin","rb",36.785,-90.54,0
"484","Kenyan Drake","rb",36.73,-90.595,0
"485","Christine Michael","rb",36.4,-90.925,0
"486","Zach Line","rb",35.55,-91.775,0
"487","Knile Davis","rb",34.07,-93.255,0
"488","Jonas Gray","rb",34.03,-93.295,0
"489","Dexter McCluster","rb",28.645,-98.68,0
"490","Zach Zenner","rb",28.25,-99.075,0
"491","Mike Gillislee","rb",28.155,-99.17,0
"492","Matt Asiata","rb",27.78,-99.545,0
"493","Branden Oliver","rb",27.75,-99.575,0
"494","James White","rb",27.67,-99.655,0
"495","Keith Marshall","rb",27.24,-100.085,0
"496","Brandon Bolden","rb",26.92,-100.405,0
"497","Taiwan Jones","rb",25.89,-101.435,0
"498","De'Anthony Thomas","rb",25.55,-101.775,0
"499","Stevan Ridley","rb",25.355,-101.97,0
"500","Denard Robinson","rb",23.71,-103.615,0
"501","Alex Collins","rb",23.375,-103.95,0
"502","David Cobb","rb",23.25,-104.075,0
"503","Antonio Andrews","rb",21.53,-105.795,0
"504","Marcel Reece","rb",21.36,-105.965,0
"505","Orleans Darkwa","rb",20.895,-106.43,0
"506","Jonathan Grimes","rb",20.59,-106.735,0
"507","Kelvin Taylor","rb",20.23,-107.095,0
"508","Mack Brown","rb",20,-107.325,0
"509","Silas Redd","rb",19.05,-108.275,0
"510","Lorenzo Taliaferro","rb",18.64,-108.685,0
"511","Jacquizz Rodgers","rb",18.165,-109.16,0
"512","Reggie Bush","rb",17.845,-109.48,0
"513","DuJuan Harris","rb",17.8,-109.525,0
"514","Jordan Todman","rb",17.65,-109.675,0
"515","Stepfan Taylor","rb",16.945,-110.38,0
"516","Kendall Gaskins","rb",16.2,-111.125,0
"517","Juwan Thompson","rb",16.115,-111.21,0
"518","Jamize Olawale","rb",16.05,-111.275,0
"519","Andre Williams","rb",15.53,-111.795,0
"520","Mark Sanchez","qb",174.186,-111.808,0
"521","Lance Dunbar","rb",14.64,-112.685,0
"522","Kenjon Barner","rb",14.43,-112.895,0
"523","Patrick DiMarco","rb",14.425,-112.9,0
"524","Roy Helu","rb",14.415,-112.91,0
"525","Terron Ward","rb",13.79,-113.535,0
"526","Isaiah Pead","rb",13.75,-113.575,0
"527","Bobby Rainey","rb",13.6,-113.725,0
